DepartmentName,HistoryId,SequenceNo,OBUId,InsertTime,Longitude,Latitude,Speed,Heading,Hdop,GPSTime,Location,UpdatedTime,VehicleID,VehicleNumber,RegNo,OperatorName,GeoCluster,MovementState
BRT,7795640883,1,868711068732737,2026-01-20 00:00:00.497,72.849036,21.11801,0.0,98.0,1.0,2026-01-19 23:59:59,21.118_72.849,2026-01-20 00:00:00.497,1873,J018,GJ05CW4263,JBM ECOLIFE MOBILITY SURAT PVT LTD,34,Stop
BRT,7795641083,1,868711068732737,2026-01-20 00:00:00.497,72.849036,21.11801,0.0,98.0,1.0,2026-01-19 23:59:59,21.118_72.849,2026-01-20 00:00:00.497,1873,J018,GJ05CW4263,JBM ECOLIFE MOBILITY SURAT PVT LTD,34,Stop
BRT,7795640852,1,868711068754913,2026-01-19 23:59:59.497,72.81008,21.149605,0.0,242.0,1.0,2026-01-19 23:59:59,21.15_72.81,2026-01-19 23:59:59.497,1911,J052,GJ05CW4637,JBM ECOLIFE MOBILITY SURAT PVT LTD,15,Stop
BRT,7795641052,1,868711068754913,2026-01-19 23:59:59.497,72.81008,21.149605,0.0,242.0,1.0,2026-01-19 23:59:59,21.15_72.81,2026-01-19 23:59:59.497,1911,J052,GJ05CW4637,JBM ECOLIFE MOBILITY SURAT PVT LTD,15,Stop
BRT,7795640867,1,868711068733081,2026-01-19 23:59:59.903,72.849243,21.118008,0.0,260.0,1.0,2026-01-19 23:59:59,21.118_72.849,2026-01-19 23:59:59.903,1931,J073,GJ05CW4671,JBM ECOLIFE MOBILITY SURAT PVT LTD,34,Stop
BRT,7795641067,1,868711068733081,2026-01-19 23:59:59.903,72.849243,21.118008,0.0,260.0,1.0,2026-01-19 23:59:59,21.118_72.849,2026-01-19 23:59:59.903,1931,J073,GJ05CW4671,JBM ECOLIFE MOBILITY SURAT PVT LTD,34,Stop
BRT,7795640875,1,868711063598109,2026-01-20 00:00:00.200,72.848975,21.119453,0.0,49.0,1.0,2026-01-19 23:59:59,21.119_72.849,2026-01-20 00:00:00.200,1876,J022,GJ05CW4212,JBM ECOLIFE MOBILITY SURAT PVT LTD,34,Stop
BRT,7795641075,1,868711063598109,2026-01-20 00:00:00.200,72.848975,21.119453,0.0,49.0,1.0,2026-01-19 23:59:59,21.119_72.849,2026-01-20 00:00:00.200,1876,J022,GJ05CW4212,JBM ECOLIFE MOBILITY SURAT PVT LTD,34,Stop
BRT,7795640850,1,865847056451113,2026-01-19 23:59:59.387,72.849197,21.11801,0.0,259.0,1.0,2026-01-19 23:59:59,21.118_72.849,2026-01-19 23:59:59.387,1868,J013,GJ05CW4057,JBM ECOLIFE MOBILITY SURAT PVT LTD,34,Stop
BRT,7795641050,1,865847056451113,2026-01-19 23:59:59.387,72.849197,21.11801,0.0,259.0,1.0,2026-01-19 23:59:59,21.118_72.849,2026-01-19 23:59:59.387,1868,J013,GJ05CW4057,JBM ECOLIFE MOBILITY SURAT PVT LTD,34,Stop
BRT,7795640849,1,868711063600673,2026-01-19 23:59:59.293,72.810066,21.149294,0.0,147.0,1.0,2026-01-19 23:59:59,21.149_72.81,2026-01-19 23:59:59.293,1946,J087,GJ05CW4543,JBM ECOLIFE MOBILITY SURAT PVT LTD,15,Stop
BRT,7795641049,1,868711063600673,2026-01-19 23:59:59.293,72.810066,21.149294,0.0,147.0,1.0,2026-01-19 23:59:59,21.149_72.81,2026-01-19 23:59:59.293,1946,J087,GJ05CW4543,JBM ECOLIFE MOBILITY SURAT PVT LTD,15,Stop
BRT,7795640846,1,868711068808057,2026-01-19 23:59:59.200,72.805351,21.175156,0.0,180.0,1.0,2026-01-19 23:59:58,21.175_72.805,2026-01-19 23:59:59.200,1884,J030,GJ05CW4124,JBM ECOLIFE MOBILITY SURAT PVT LTD,51,Stop
BRT,7795641046,1,868711068808057,2026-01-19 23:59:59.200,72.805351,21.175156,0.0,180.0,1.0,2026-01-19 23:59:58,21.175_72.805,2026-01-19 23:59:59.200,1884,J030,GJ05CW4124,JBM ECOLIFE MOBILITY SURAT PVT LTD,51,Stop
BRT,7795640862,1,868711068770810,2026-01-19 23:59:59.700,72.809967,21.149467,0.0,4.0,1.0,2026-01-19 23:59:58,21.149_72.81,2026-01-19 23:59:59.700,1940,J082,GJ05CW4939,JBM ECOLIFE MOBILITY SURAT PVT LTD,15,Stop
BRT,7795641062,1,868711068770810,2026-01-19 23:59:59.700,72.809967,21.149467,0.0,4.0,1.0,2026-01-19 23:59:58,21.149_72.81,2026-01-19 23:59:59.700,1940,J082,GJ05CW4939,JBM ECOLIFE MOBILITY SURAT PVT LTD,15,Stop
BRT,7795640811,1,868711068754061,2026-01-19 23:59:57.387,72.849449,21.118176,0.0,14.0,1.0,2026-01-19 23:59:57,21.118_72.849,2026-01-19 23:59:57.387,1888,J034,GJ05CW4356,JBM ECOLIFE MOBILITY SURAT PVT LTD,34,Stop
BRT,7795640828,1,862430060911977,2026-01-19 23:59:58.293,72.80986,21.149387,0.0,196.0,1.0,2026-01-19 23:59:57,21.149_72.81,2026-01-19 23:59:58.293,1937,J079,GJ05CW4759,JBM ECOLIFE MOBILITY SURAT PVT LTD,15,Stop
BRT,7795640802,1,868711063601499,2026-01-19 23:59:56.980,72.848999,21.119271,0.0,54.0,1.0,2026-01-19 23:59:56,21.119_72.849,2026-01-19 23:59:56.980,1909,J021,GJ05CW4137,JBM ECOLIFE MOBILITY SURAT PVT LTD,34,Stop
BRT,7795640813,1,868711063622545,2026-01-19 23:59:57.480,72.849327,21.118884,0.0,100.0,1.0,2026-01-19 23:59:56,21.119_72.849,2026-01-19 23:59:57.480,1901,J049,GJ05CW4375,JBM ECOLIFE MOBILITY SURAT PVT LTD,34,Stop
BRT,7795640801,1,868711068754376,2026-01-19 23:59:56.887,72.810028,21.14935,0.0,158.0,1.0,2026-01-19 23:59:56,21.149_72.81,2026-01-19 23:59:56.887,1955,J098,GJ05CW4894,JBM ECOLIFE MOBILITY SURAT PVT LTD,15,Stop
BRT,7795640807,1,868711068778557,2026-01-19 23:59:57.277,72.809914,21.149242,0.0,186.0,1.0,2026-01-19 23:59:56,21.149_72.81,2026-01-19 23:59:57.277,1938,J080,GJ05CW4589,JBM ECOLIFE MOBILITY SURAT PVT LTD,15,Stop
BRT,7795640803,1,868711068767063,2026-01-19 23:59:56.980,72.809989,21.149546,0.0,71.0,1.0,2026-01-19 23:59:56,21.15_72.81,2026-01-19 23:59:56.980,1952,J094,GJ05CW4710,JBM ECOLIFE MOBILITY SURAT PVT LTD,15,Stop
BRT,7795640799,1,868711067403769,2026-01-19 23:59:56.777,72.849402,21.118244,0.0,95.0,1.0,2026-01-19 23:59:56,21.118_72.849,2026-01-19 23:59:56.777,1859,J004,GJ05CW4494,JBM ECOLIFE MOBILITY SURAT PVT LTD,34,Stop
BRT,7795640793,1,868711068666661,2026-01-19 23:59:56.497,72.809898,21.149422,0.0,45.0,1.0,2026-01-19 23:59:55,21.149_72.81,2026-01-19 23:59:56.497,1941,J083,GJ05CW4869,JBM ECOLIFE MOBILITY SURAT PVT LTD,15,Stop
BRT,7795640785,1,868711068737595,2026-01-19 23:59:56.073,72.810019,21.14927,0.0,234.0,1.0,2026-01-19 23:59:55,21.149_72.81,2026-01-19 23:59:56.073,1949,J090,GJ05CW4600,JBM ECOLIFE MOBILITY SURAT PVT LTD,15,Stop
BRT,7795640784,1,868711068730723,2026-01-19 23:59:55.997,72.848929,21.119432,0.0,1.0,1.0,2026-01-19 23:59:55,21.119_72.849,2026-01-19 23:59:55.997,1945,J086,GJ05CW4537,JBM ECOLIFE MOBILITY SURAT PVT LTD,34,Stop
BRT,7795640788,1,868711068735268,2026-01-19 23:59:56.183,72.849425,21.1182,0.0,211.0,1.0,2026-01-19 23:59:55,21.118_72.849,2026-01-19 23:59:56.183,1928,J070,GJ05CW4970,JBM ECOLIFE MOBILITY SURAT PVT LTD,34,Stop
BRT,7795640778,1,868711068733727,2026-01-19 23:59:55.887,72.809944,21.149265,0.0,188.0,1.0,2026-01-19 23:59:55,21.149_72.81,2026-01-19 23:59:55.887,1935,J077,GJ05CW4899,JBM ECOLIFE MOBILITY SURAT PVT LTD,15,Stop
BRT,7795640797,1,868711068754111,2026-01-19 23:59:56.590,72.810112,21.149584,0.0,214.0,1.0,2026-01-19 23:59:55,21.15_72.81,2026-01-19 23:59:56.590,1954,J096,GJ05CW4922,JBM ECOLIFE MOBILITY SURAT PVT LTD,15,Stop
BRT,7795640746,1,868711068754913,2026-01-19 23:59:54.573,72.81008,21.149602,0.0,242.0,1.0,2026-01-19 23:59:54,21.15_72.81,2026-01-19 23:59:54.573,1911,J052,GJ05CW4637,JBM ECOLIFE MOBILITY SURAT PVT LTD,15,Stop
BRT,7795640773,1,868711068732737,2026-01-19 23:59:55.590,72.849036,21.11801,0.0,98.0,1.0,2026-01-19 23:59:54,21.118_72.849,2026-01-19 23:59:55.590,1873,J018,GJ05CW4263,JBM ECOLIFE MOBILITY SURAT PVT LTD,34,Stop
